id,text,aspect_label
1,Maintenance schedule unpredictable hai.,Repair & Maintenance
2,"Transformer repair me weeks lag gaye, notification nahi di.",Repair & Maintenance
3,Line replacement me leaks hone ke baad bhi action nahi liya gaya.,Repair & Maintenance
4,"Repair ka cost estimate pehle batao, surprise charges nahi hone chahiye.",Repair & Maintenance
5,"Crew behaviour kharab tha, rude communication hui.",Repair & Maintenance
6,Rooftop solar installation guidelines clear nahi hain.,Green Energy & Sustainability
7,Net-metering benefits ke baare mein koi information nahi mili.,Green Energy & Sustainability
8,"Green tariff choose karna hai, process kaise hai?",Green Energy & Sustainability
9,Solar panel subsidy apply karne mein problem aa rahi hai.,Green Energy & Sustainability
10,Renewable energy plans mehngi pad rahi hain compared to regular.,Green Energy & Sustainability
11,Carbon footprint reduce ka promise sab karte hain but action nahi.,Green Energy & Sustainability
12,EV charging station availability bahut limited hai.,Green Energy & Sustainability
13,Community solar projects ke updates chahiye the.,Green Energy & Sustainability
14,Green energy options ke liye longer contract periods hain.,Green Energy & Sustainability
15,"Customer care number unreachable hai, line busy rehta hai.",Customer Support & Communication
16,"Chatbot se resolution nahi milti, agent connect kar do.",Customer Support & Communication
17,"SMS alerts timely nahi aate, outage ke baare mein late pata chalta hai.",Customer Support & Communication
18,Emails ka reply 10 days baad aata hai.,Customer Support & Communication
19,"Support staff Hindi nahi bol paate, English only.",Customer Support & Communication
20,Complaint registration process complicated hai.,Customer Support & Communication
21,Follow-up calls promised but nahi kiye gaye.,Customer Support & Communication
22,Service status updates website pe outdated hain.,Customer Support & Communication
23,"Feedback form down hai, submit nahi ho raha.",Customer Support & Communication
